,uuid,timestamp,gps_lat,gps_lon,gps_alt,file_size,width,height,s3_path,url
758,535196ef1d8ea36bdf9577d776c433de888309c0,2017-09-26 12:24:04,18.2061716666667,-65.740305,486.0,6619153.0,4496.0,3000.0,s3://ladi/Images/FEMA_CAP/9075/614001/A0027-92_621b3bc4-4456-4a6c-a2b4-7ac25b75d191.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9075/614001/A0027-92_621b3bc4-4456-4a6c-a2b4-7ac25b75d191.jpg
760,ef163634d796ad93783ba6120eec1f02a8736168,2017-09-26 12:24:20,18.20285,-65.7355766666667,465.0,7850901.0,4496.0,3000.0,s3://ladi/Images/FEMA_CAP/9075/614001/A0027-92_65636efa-470a-4b6e-8431-96c53b66d574.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9075/614001/A0027-92_65636efa-470a-4b6e-8431-96c53b66d574.jpg
1916,960840665cf43428eafa369b339a19234b2f4e88,2015-10-12 14:48:25,33.5103933333333,-79.5487166666667,347.0,6292029.0,4288.0,2848.0,s3://ladi/Images/FEMA_CAP/1013/20253/DSC_0057_c2a900f2-998a-4dd8-a356-e5776b38ff66.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/1013/20253/DSC_0057_c2a900f2-998a-4dd8-a356-e5776b38ff66.jpg
2579,f99d63d11bb6d28c02c5f38158909ca0e80551a7,2015-10-08 17:43:00,34.11644,-79.5105183333333,433.0,12396710.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/1013/20186/CAP_2123_a8009b2c-d3af-4d04-aeef-17f5c49e2f4e.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/1013/20186/CAP_2123_a8009b2c-d3af-4d04-aeef-17f5c49e2f4e.jpg
2594,32a77c771edb52c10615868f47b466b49a8ccc60,2015-10-08 17:47:08,34.2023266666667,-79.5434766666667,430.0,14537943.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/1013/20186/CAP_2138_9ae5c108-9157-4294-99ce-a77dcefa3864.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/1013/20186/CAP_2138_9ae5c108-9157-4294-99ce-a77dcefa3864.jpg
2706,7f11c465e87743277149bdc33c6fd8296228f798,2015-10-08 13:04:58,33.4324083333333,-79.4750533333333,665.0,6365142.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/1013/20195/DSC_0737_66a7889d-f702-4bbc-be53-e8c112134de6.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/1013/20195/DSC_0737_66a7889d-f702-4bbc-be53-e8c112134de6.jpg
2804,1a62144bd3b184d8ebe35bbefd27c18a89298150,2015-10-07 14:12:20,33.5549783333333,-79.409035,468.0,6206312.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/1013/20183/DSC_1650_85f8b3fa-4c99-4d74-9280-b6554b2833d3.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/1013/20183/DSC_1650_85f8b3fa-4c99-4d74-9280-b6554b2833d3.jpg
3465,a7f69f62c6162a919fd57529cb2a860c2bf39406,2015-10-07 18:31:56,32.60997,-80.4867433333333,358.0,6148255.0,4288.0,2848.0,s3://ladi/Images/FEMA_CAP/1013/20238/DSC_0146_0b15041c-7c0c-44c7-a489-4fd12af9e2a9.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/1013/20238/DSC_0146_0b15041c-7c0c-44c7-a489-4fd12af9e2a9.jpg
4945,f804a70063cc0c85a6a42ade4d93e05c6ae5dde2,2017-09-26 12:24:32,18.2030933333333,-65.7312783333333,467.0,6888387.0,4496.0,3000.0,s3://ladi/Images/FEMA_CAP/9075/614001/A0027-92_8b828d16-41a8-4db0-b1ce-0762c5b7c6d8.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9075/614001/A0027-92_8b828d16-41a8-4db0-b1ce-0762c5b7c6d8.jpg
4948,c62c8b29acd0939363ccbcb1df562ebdaec1fc89,2017-09-26 12:16:37,18.213185,-65.73529,335.0,6815826.0,4496.0,3000.0,s3://ladi/Images/FEMA_CAP/9075/614001/A0027-92_8e0af70b-c443-402d-a429-57f6af04e2a8.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9075/614001/A0027-92_8e0af70b-c443-402d-a429-57f6af04e2a8.jpg
4949,44f98fb27ee0653cc1f74b953f9374665e9fcb34,2017-09-26 12:18:35,18.2132216666667,-65.73523,363.0,6616844.0,4496.0,3000.0,s3://ladi/Images/FEMA_CAP/9075/614001/A0027-92_90bbed3f-3ab5-4bbc-9c47-f3ae357f0ef2.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9075/614001/A0027-92_90bbed3f-3ab5-4bbc-9c47-f3ae357f0ef2.jpg
8523,9f0f62ecd8e2063908ad41774fd0fc9c568c7456,2017-09-26 12:17:14,18.203565,-65.7348816666667,353.0,8695244.0,4496.0,3000.0,s3://ladi/Images/FEMA_CAP/9075/614001/A0027-92_cd71fd32-35da-4426-b11a-8b428cfc862d.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9075/614001/A0027-92_cd71fd32-35da-4426-b11a-8b428cfc862d.jpg
8528,21d3f1cf9c70960cac653a988e2c0f1af547378c,2017-09-26 12:18:56,18.2080316666667,-65.7302283333333,385.0,5738532.0,4496.0,3000.0,s3://ladi/Images/FEMA_CAP/9075/614001/A0027-92_d66ef223-71bf-4eb3-977c-0b5cef8dc457.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9075/614001/A0027-92_d66ef223-71bf-4eb3-977c-0b5cef8dc457.jpg
9054,817bfd5ad4a68f36c1f397cfd116299f82433e7a,2017-10-04 15:58:08,17.9629783333333,-66.2947266666667,403.0,7324089.0,4496.0,3000.0,s3://ladi/Images/FEMA_CAP/9075/614044/A0153_AP_fc762529-531e-4ea4-ba86-a09845bd881c.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9075/614044/A0153_AP_fc762529-531e-4ea4-ba86-a09845bd881c.jpg
9101,6466a5c04fa8bbc03d16f603f99330304e1ba0f0,2017-09-26 12:32:17,18.20544,-65.733695,316.0,6558639.0,4496.0,3000.0,s3://ladi/Images/FEMA_CAP/9075/614001/A0027-93_4a4e5084-d4d7-4afa-a2ad-995f4c22a83a.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9075/614001/A0027-93_4a4e5084-d4d7-4afa-a2ad-995f4c22a83a.jpg
9477,1f3f2a11fce9e34b82d60a82a5f4a3fa1edc8fa4,2017-09-10 08:21:02,29.9096816666667,-95.13883,310.0,13380050.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/9073/613829/DSC_8543_2345d0ec-937f-41f6-96ab-16a905ce53fb.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9073/613829/DSC_8543_2345d0ec-937f-41f6-96ab-16a905ce53fb.jpg
9899,81f5f0ac1a3016323f4be73b95b828416a942395,2017-09-26 12:32:13,18.20453,-65.7348116666667,318.0,8149980.0,4496.0,3000.0,s3://ladi/Images/FEMA_CAP/9075/614001/A0027-93_673ee509-d61b-4e3b-ae6f-16be36ecc040.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9075/614001/A0027-93_673ee509-d61b-4e3b-ae6f-16be36ecc040.jpg
10713,c46aaba94f5086c6dee55cb0afcb0efcb03a4045,2017-09-26 12:37:31,18.2105883333333,-65.7444516666667,273.0,8191445.0,4496.0,3000.0,s3://ladi/Images/FEMA_CAP/9075/614001/A0027-93_94c64789-d446-49ec-9c56-ca93c66778f7.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9075/614001/A0027-93_94c64789-d446-49ec-9c56-ca93c66778f7.jpg
11555,2d2dce907b3fe1b6b396ac25908e55da7b4bc5bd,2017-09-26 12:37:35,18.209815,-65.74329,270.0,7011533.0,4496.0,3000.0,s3://ladi/Images/FEMA_CAP/9075/614001/A0027-93_da255b8f-b7ea-48d3-aed6-027f4821e38f.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9075/614001/A0027-93_da255b8f-b7ea-48d3-aed6-027f4821e38f.jpg
11556,ceac1bd4088f0af7b9681ec790b9cd78cc68fe67,2017-09-26 12:30:32,18.2065566666667,-65.7406966666667,361.0,6315588.0,4496.0,3000.0,s3://ladi/Images/FEMA_CAP/9075/614001/A0027-93_de2af8dc-aca0-4c8e-9075-fc575af306ca.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9075/614001/A0027-93_de2af8dc-aca0-4c8e-9075-fc575af306ca.jpg
12108,95fc5430a79ffa64668f2e500e90bde481f99c3d,2017-10-04 17:09:14,18.242465,-65.6713333333333,577.0,6611871.0,4496.0,3000.0,s3://ladi/Images/FEMA_CAP/9075/614045/A0085_AP_2c9be2ba-ca13-4baa-9298-77fbae0cccdc.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9075/614045/A0085_AP_2c9be2ba-ca13-4baa-9298-77fbae0cccdc.jpg
12651,359c21777adcc774cb81db0c6c8b9e39ed0a85e1,2017-09-07 12:45:31,29.7921533333333,-95.1392683333333,314.0,13167347.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/9073/613946/DSC_6775_33d41884-172c-410a-9fb2-2e96ab648d48.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9073/613946/DSC_6775_33d41884-172c-410a-9fb2-2e96ab648d48.jpg
13330,797f457b4af3be83d356a85766a38d4a5b242bfa,2017-09-26 12:40:06,18.21338,-65.7466166666667,330.0,6647488.0,4496.0,3000.0,s3://ladi/Images/FEMA_CAP/9075/614001/A0027-94_9cd443af-2669-4800-a056-599cc54afa6c.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9075/614001/A0027-94_9cd443af-2669-4800-a056-599cc54afa6c.jpg
13370,b221861d767b1afc4c95b4401cc5093696d69c3f,2017-09-08 11:25:08,29.9991283333333,-95.5142633333333,432.0,17091462.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/9073/613897/DSC_4897_ab52dbcf-1f3e-40b1-b207-8e8af72d994a.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9073/613897/DSC_4897_ab52dbcf-1f3e-40b1-b207-8e8af72d994a.jpg
14092,fc50817cb1a3871c36b30ae94496dc2aa476b08c,2017-09-26 12:40:57,18.21234,-65.7421033333333,358.0,7995716.0,4496.0,3000.0,s3://ladi/Images/FEMA_CAP/9075/614001/A0027-94_e7b4e53a-871f-4ad8-83cb-b9e23964720a.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9075/614001/A0027-94_e7b4e53a-871f-4ad8-83cb-b9e23964720a.jpg
