,uuid,timestamp,gps_lat,gps_lon,gps_alt,file_size,width,height,s3_path,url
97,24ae646224a2937d186d10b999b7ca0155a116c1,2017-09-08 10:20:57,18.3345366666667,-64.939215,329.0,3289296.0,2992.0,2000.0,s3://ladi/Images/FEMA_CAP/9074/613596/DSC_2010_646d76d1-d5cf-44a0-9031-9cf209cf12c5.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9074/613596/DSC_2010_646d76d1-d5cf-44a0-9031-9cf209cf12c5.jpg
763,c112c192d0bf104fc85e11101a2f946ec0826d47,2017-09-26 12:23:02,18.2090983333333,-65.727525,460.0,7083841.0,4496.0,3000.0,s3://ladi/Images/FEMA_CAP/9075/614001/A0027-92_74ed3534-8bc1-4b3e-9281-4de4bc72ec49.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9075/614001/A0027-92_74ed3534-8bc1-4b3e-9281-4de4bc72ec49.jpg
835,4ec29e9b4a3a7c8d95cf1335a7974606d6d40630,2015-10-08 12:39:25,33.5476566666667,-79.7123733333333,342.0,6363967.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/1013/20195/DSC_0552_e8f71b85-ebf2-4889-9152-1acd2c7cd5ad.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/1013/20195/DSC_0552_e8f71b85-ebf2-4889-9152-1acd2c7cd5ad.jpg
1134,72ea30cad616b1dec2883b1b9daf61ed8f9a170a,2015-10-08 16:36:11,33.7706183333333,-79.317555,521.0,16493028.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/1013/20186/CAP_2012_641f4ecb-5b5a-4f96-baa1-086622b98b3f.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/1013/20186/CAP_2012_641f4ecb-5b5a-4f96-baa1-086622b98b3f.jpg
1678,57a66031cdb9c512863bbd1f5db0394435fcb942,2017-09-01 15:22:43,29.99316,-94.0457316666667,311.0,13417760.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/9073/613544/DSC_0187_f66890e7-5723-463b-87e8-26cedc40a613.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9073/613544/DSC_0187_f66890e7-5723-463b-87e8-26cedc40a613.jpg
1694,4f24696f8a8a01db1786c6bbc2abfce74cc9f947,2015-10-06 21:22:45,32.94285,-80.2569783333333,358.0,6303070.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/1013/20147/DSC_1601_aa4b241d-61ba-4f8f-ab0e-092d6d623a21.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/1013/20147/DSC_1601_aa4b241d-61ba-4f8f-ab0e-092d6d623a21.jpg
1700,eaf5cab99e5ddca7bf039f69aaa7ae3a719f8a58,2015-10-06 21:49:05,32.9070716666667,-80.396665,352.0,6100841.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/1013/20147/DSC_1607_6e0b5f5d-7935-4c9a-9950-1599c27a9f90.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/1013/20147/DSC_1607_6e0b5f5d-7935-4c9a-9950-1599c27a9f90.jpg
1940,5f0647bb522421ea40a3406de088ddf23be5ad9c,2015-10-07 10:30:21,32.8503416666667,-80.3901833333333,331.0,6318321.0,4288.0,2848.0,s3://ladi/Images/FEMA_CAP/1013/20173/16-1-337_13b8ab6b-934a-4eeb-b840-2b2a3a48485f.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/1013/20173/16-1-337_13b8ab6b-934a-4eeb-b840-2b2a3a48485f.jpg
2119,57fc4f769ebcf242868738c8a97f98b79b41310b,2015-10-08 16:51:14,33.3099833333333,-79.66144,603.0,4933316.0,4288.0,2848.0,s3://ladi/Images/FEMA_CAP/1013/20187/DSC_0188_0d14991d-c4ea-4a4d-804b-5a59c2461101.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/1013/20187/DSC_0188_0d14991d-c4ea-4a4d-804b-5a59c2461101.jpg
2204,ded191da04202cd16323cf8a768ef58ad50b4eef,2015-10-12 15:06:01,33.52351,-79.4329033333333,394.0,5937989.0,4288.0,2848.0,s3://ladi/Images/FEMA_CAP/1013/20253/DSC_0079_cce0668c-4bad-4834-aa4b-354dedde4f02.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/1013/20253/DSC_0079_cce0668c-4bad-4834-aa4b-354dedde4f02.jpg
