,uuid,timestamp,gps_lat,gps_lon,gps_alt,file_size,width,height,s3_path,url
97,24ae646224a2937d186d10b999b7ca0155a116c1,2017-09-08 10:20:57,18.3345366666667,-64.939215,329.0,3289296.0,2992.0,2000.0,s3://ladi/Images/FEMA_CAP/9074/613596/DSC_2010_646d76d1-d5cf-44a0-9031-9cf209cf12c5.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9074/613596/DSC_2010_646d76d1-d5cf-44a0-9031-9cf209cf12c5.jpg
366,3002baeec638d395871213c474bc63089eba11b5,2015-10-08 16:19:17,33.8867116666667,-79.4311833333333,478.0,13858867.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/1013/20186/CAP_1973_a6465128-eec6-46d4-8927-016a14ebfcc4.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/1013/20186/CAP_1973_a6465128-eec6-46d4-8927-016a14ebfcc4.jpg
764,dde9bfda1019cd331f0cfaf0f310ae4237382896,2017-09-26 12:17:41,18.2082083333333,-65.726495,345.0,5790376.0,4496.0,3000.0,s3://ladi/Images/FEMA_CAP/9075/614001/A0027-92_7524bdd7-b9ac-4e28-af84-b30b0cdc9235.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9075/614001/A0027-92_7524bdd7-b9ac-4e28-af84-b30b0cdc9235.jpg
1134,72ea30cad616b1dec2883b1b9daf61ed8f9a170a,2015-10-08 16:36:11,33.7706183333333,-79.317555,521.0,16493028.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/1013/20186/CAP_2012_641f4ecb-5b5a-4f96-baa1-086622b98b3f.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/1013/20186/CAP_2012_641f4ecb-5b5a-4f96-baa1-086622b98b3f.jpg
1487,9af9f3b45aa4f5fbdd2edfbc5d9260351942b083,2015-10-06 21:16:27,32.9569483333333,-80.285155,348.0,6251213.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/1013/20147/DSC_1592_961cfdbc-0de8-4f06-9653-17c47cc7c464.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/1013/20147/DSC_1592_961cfdbc-0de8-4f06-9653-17c47cc7c464.jpg
1583,f5a86c52487695ec04e61c3c6242aad740385b6c,2017-10-04 16:00:48,17.96309,-66.2962533333333,401.0,7110878.0,4496.0,3000.0,s3://ladi/Images/FEMA_CAP/9075/614044/A0153_AP_eb5c730f-7846-4b39-ad3e-c38c185bb079.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9075/614044/A0153_AP_eb5c730f-7846-4b39-ad3e-c38c185bb079.jpg
1590,c16f22021179c081cf96266dc08cf239d9579d9a,2017-10-04 15:58:25,17.95547,-66.2950133333333,397.0,5742523.0,4496.0,3000.0,s3://ladi/Images/FEMA_CAP/9075/614044/A0153_AP_ed8423de-2f15-4f94-b0c8-b7d4f75d20ab.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9075/614044/A0153_AP_ed8423de-2f15-4f94-b0c8-b7d4f75d20ab.jpg
1608,02ad2848349096b85411c63a9a8781fecf24baf1,2015-10-12 14:38:45,33.5085316666667,-79.5660033333333,551.0,6516036.0,4288.0,2848.0,s3://ladi/Images/FEMA_CAP/1013/20253/DSC_0031_c69274ca-7578-44ec-86e1-3edd9832e58b.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/1013/20253/DSC_0031_c69274ca-7578-44ec-86e1-3edd9832e58b.jpg
1774,0d23bfde17a900a08dedb577bedd828a5fd521c9,2015-10-09 17:10:10,33.8598,-79.0567066666667,422.0,13200314.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/1013/20215/CAP_2216_47bfdf04-8ea2-4e07-be9b-d700b6355151.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/1013/20215/CAP_2216_47bfdf04-8ea2-4e07-be9b-d700b6355151.jpg
1821,47e7b7fc859a495ef7a08b1423f396c7aaf59996,2015-10-08 14:41:11,33.6169683333333,-79.4254783333333,330.0,6233184.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/1013/20195/DSC_0928_6eff4b3c-b891-4056-b2a3-e57df2ec130c.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/1013/20195/DSC_0928_6eff4b3c-b891-4056-b2a3-e57df2ec130c.jpg
