,uuid,timestamp,gps_lat,gps_lon,gps_alt,file_size,width,height,s3_path,url
373,a7856b7f3f93636c9eff1264e1b7da086b889f30,2015-10-08 16:21:01,33.86081,-79.3906433333333,450.0,15954541.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/1013/20186/CAP_1980_d8bb5d20-d682-42e6-9a50-c983c6c50cb1.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/1013/20186/CAP_1980_d8bb5d20-d682-42e6-9a50-c983c6c50cb1.jpg
405,55ea7617acc9d83a2c5482b88c5c9315bd35aa6c,2017-10-10 13:42:52,18.3341216666667,-66.8138416666667,610.0,5832425.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/9075/614071/A0013_AP_be30dc2b-a2a5-43c5-8ec9-a89eb3197d24.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9075/614071/A0013_AP_be30dc2b-a2a5-43c5-8ec9-a89eb3197d24.jpg
608,9f054b071b8a1fbe40f18cad35718899bbec7269,2015-10-09 11:03:27,33.4600833333333,-79.5651766666667,389.0,6325690.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/1013/20211/DSC_1069_69399657-b59d-4d3d-b036-9ee24e5a74dd.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/1013/20211/DSC_1069_69399657-b59d-4d3d-b036-9ee24e5a74dd.jpg
611,0b224bec963b0dd00f1fae91825c453c985251ac,2015-10-09 11:03:31,33.4606783333333,-79.56339,387.0,6930245.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/1013/20211/DSC_1072_aa8ed547-096c-4d50-817c-766963c6ec0c.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/1013/20211/DSC_1072_aa8ed547-096c-4d50-817c-766963c6ec0c.jpg
760,ef163634d796ad93783ba6120eec1f02a8736168,2017-09-26 12:24:20,18.20285,-65.7355766666667,465.0,7850901.0,4496.0,3000.0,s3://ladi/Images/FEMA_CAP/9075/614001/A0027-92_65636efa-470a-4b6e-8431-96c53b66d574.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9075/614001/A0027-92_65636efa-470a-4b6e-8431-96c53b66d574.jpg
762,016189558c105e1a040ab50deecc2b844f98bf51,2017-09-26 12:18:24,18.2168783333333,-65.7334766666667,368.0,5327321.0,4496.0,3000.0,s3://ladi/Images/FEMA_CAP/9075/614001/A0027-92_7268b4c9-5d98-4036-96d1-acd516766a09.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9075/614001/A0027-92_7268b4c9-5d98-4036-96d1-acd516766a09.jpg
764,dde9bfda1019cd331f0cfaf0f310ae4237382896,2017-09-26 12:17:41,18.2082083333333,-65.726495,345.0,5790376.0,4496.0,3000.0,s3://ladi/Images/FEMA_CAP/9075/614001/A0027-92_7524bdd7-b9ac-4e28-af84-b30b0cdc9235.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9075/614001/A0027-92_7524bdd7-b9ac-4e28-af84-b30b0cdc9235.jpg
1576,de61a557cb715d4983c86d375de556bfd6b3474c,2017-10-04 15:51:46,17.935585,-66.2647683333333,401.0,7221993.0,4496.0,3000.0,s3://ladi/Images/FEMA_CAP/9075/614044/A0153_AP_e8176e4e-f684-4877-96c8-888091b9fd25.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9075/614044/A0153_AP_e8176e4e-f684-4877-96c8-888091b9fd25.jpg
1583,f5a86c52487695ec04e61c3c6242aad740385b6c,2017-10-04 16:00:48,17.96309,-66.2962533333333,401.0,7110878.0,4496.0,3000.0,s3://ladi/Images/FEMA_CAP/9075/614044/A0153_AP_eb5c730f-7846-4b39-ad3e-c38c185bb079.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9075/614044/A0153_AP_eb5c730f-7846-4b39-ad3e-c38c185bb079.jpg
1590,c16f22021179c081cf96266dc08cf239d9579d9a,2017-10-04 15:58:25,17.95547,-66.2950133333333,397.0,5742523.0,4496.0,3000.0,s3://ladi/Images/FEMA_CAP/9075/614044/A0153_AP_ed8423de-2f15-4f94-b0c8-b7d4f75d20ab.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9075/614044/A0153_AP_ed8423de-2f15-4f94-b0c8-b7d4f75d20ab.jpg
1596,2f855903d6863d9c1d3d4ec998e29edb02c94719,2017-10-04 15:52:51,17.9498433333333,-66.2580433333333,394.0,8067822.0,4496.0,3000.0,s3://ladi/Images/FEMA_CAP/9075/614044/A0153_AP_f1f139ab-9049-4b8f-938b-f0e31fc02bc8.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9075/614044/A0153_AP_f1f139ab-9049-4b8f-938b-f0e31fc02bc8.jpg
1599,c06c0b9299ce6444f3fd85d36e08f91ec7ae5f0d,2017-10-04 15:45:55,17.974245,-66.2414283333333,405.0,7426538.0,4496.0,3000.0,s3://ladi/Images/FEMA_CAP/9075/614044/A0153_AP_f2900b71-b063-4602-b0a0-551101dfc9af.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9075/614044/A0153_AP_f2900b71-b063-4602-b0a0-551101dfc9af.jpg
1622,410bebbf30b5ec81c3cd796539fa594eb79f4a25,2015-10-12 14:44:00,33.4612416666667,-79.569085,377.0,6129940.0,4288.0,2848.0,s3://ladi/Images/FEMA_CAP/1013/20253/DSC_0045_65dadac5-3c79-4cb4-895e-93619d41465c.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/1013/20253/DSC_0045_65dadac5-3c79-4cb4-895e-93619d41465c.jpg
1677,83df5d6e4a851b143e23b71ce77060e6df5eb29a,2017-09-01 15:22:41,29.9939583333333,-94.04598,310.0,13240489.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/9073/613544/DSC_0186_7d8c4e18-f5b1-49ff-b28b-91636b7c0fb7.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9073/613544/DSC_0186_7d8c4e18-f5b1-49ff-b28b-91636b7c0fb7.jpg
1916,960840665cf43428eafa369b339a19234b2f4e88,2015-10-12 14:48:25,33.5103933333333,-79.5487166666667,347.0,6292029.0,4288.0,2848.0,s3://ladi/Images/FEMA_CAP/1013/20253/DSC_0057_c2a900f2-998a-4dd8-a356-e5776b38ff66.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/1013/20253/DSC_0057_c2a900f2-998a-4dd8-a356-e5776b38ff66.jpg
1940,5f0647bb522421ea40a3406de088ddf23be5ad9c,2015-10-07 10:30:21,32.8503416666667,-80.3901833333333,331.0,6318321.0,4288.0,2848.0,s3://ladi/Images/FEMA_CAP/1013/20173/16-1-337_13b8ab6b-934a-4eeb-b840-2b2a3a48485f.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/1013/20173/16-1-337_13b8ab6b-934a-4eeb-b840-2b2a3a48485f.jpg
